area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;020401;036;04;1;2;2;2;2;2;1;1;3;2;3;2;3;2;2;2;2;2712;136,249695457758;010150020401;01015002040103604;010150020401036041;202306
1;10150;020401;036;05;1;3;2;1;3;3;3;2;2;2;3;3;2;2;2;2;2;2712;136,249695457758;010150020401;01015002040103605;010150020401036051;202306
1;10150;020401;036;06;1;2;2;2;3;3;3;2;2;3;3;3;3;2;2;2;2;2712;136,249695457758;010150020401;01015002040103606;010150020401036061;202306
1;10150;020401;036;07;1;2;2;1;3;2;2;2;2;2;2;2;2;3;2;2;2;2712;136,249695457758;010150020401;01015002040103607;010150020401036071;202306
1;10150;020703;036;01;1;3;3;2;1;1;2;2;2;2;2;2;2;3;3;3;3;2713;50,2969279144664;010150020703;01015002070303601;010150020703036011;202306
1;10150;020703;036;02;1;2;3;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;50,2969279144664;010150020703;01015002070303602;010150020703036021;202306
1;10150;020703;036;03;1;2;2;1;3;2;2;1;1;2;3;3;2;1;3;3;3;2713;50,2969279144664;010150020703;01015002070303603;010150020703036031;202306
1;10150;020703;036;04;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;50,2969279144664;010150020703;01015002070303604;010150020703036041;202306
1;10150;020703;036;05;1;2;3;1;3;2;3;3;2;2;2;3;2;3;1;2;2;2713;50,2969279144664;010150020703;01015002070303605;010150020703036051;202306
1;10150;020703;036;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;50,2969279144664;010150020703;01015002070303606;010150020703036061;202306
1;10150;020703;036;07;1;2;2;2;3;2;2;2;2;1;2;2;2;2;3;3;3;2713;50,2969279144664;010150020703;01015002070303607;010150020703036071;202306
1;10150;021102;036;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2712;106,021044685888;010150021102;01015002110203601;010150021102036011;202306
1;10150;021102;036;03;1;3;2;2;2;2;2;3;2;2;2;2;2;3;2;3;3;2712;106,021044685888;010150021102;01015002110203603;010150021102036031;202306
1;10150;021102;036;04;1;2;2;1;2;2;1;2;2;2;2;2;2;3;3;3;3;2712;106,021044685888;010150021102;01015002110203604;010150021102036041;202306
1;10150;021102;036;05;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;2712;106,021044685888;010150021102;01015002110203605;010150021102036051;202306
1;10150;021102;036;06;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;106,021044685888;010150021102;01015002110203606;010150021102036061;202306
1;10150;021102;036;07;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;106,021044685888;010150021102;01015002110203607;010150021102036071;202306
